id,Start,End,observer,time_in_mins
1,1899-12-31 17:29:00,1899-12-31 17:41:00,Angela,12
2,1899-12-31 17:43:00,1899-12-31 17:51:00,Angela,8
3,1899-12-31 18:11:00,1899-12-31 18:39:00,Angela,28
4,1899-12-31 18:48:00,1899-12-31 19:15:00,Angela,27
5,1899-12-31 17:29:00,1899-12-31 17:41:00,Angela,12
6,1899-12-31 17:56:00,1899-12-31 18:36:00,Angela,40
7,1899-12-31 18:39:00,1899-12-31 18:48:00,Angela,9
8,1899-12-31 17:30:00,1899-12-31 17:40:00,Angela,10
9,1899-12-31 17:56:00,1899-12-31 18:36:00,Angela,40
10,1899-12-31 18:48:00,1899-12-31 19:15:00,Angela,27
11,1899-12-31 17:31:00,1899-12-31 17:52:00,Angela,21
12,1899-12-31 18:13:00,1899-12-31 18:39:00,Angela,26
13,1899-12-31 18:48:00,1899-12-31 19:15:00,Angela,27
14,1899-12-31 17:32:00,1899-12-31 17:50:00,Angela,18
15,1899-12-31 17:55:00,1899-12-31 18:19:00,Angela,24
16,1899-12-31 18:51:00,1899-12-31 19:10:00,Angela,19
17,1899-12-31 17:32:00,1899-12-31 17:50:00,Angela,18
18,1899-12-31 17:55:00,1899-12-31 18:19:00,Angela,24
19,1899-12-31 18:52:00,1899-12-31 19:10:00,Angela,18
20,1899-12-31 17:32:00,1899-12-31 17:50:00,Angela,18
21,1899-12-31 17:58:00,1899-12-31 18:33:00,Angela,35
22,1899-12-31 18:52:00,1899-12-31 19:10:00,Angela,18
23,1899-12-31 17:32:00,1899-12-31 17:50:00,Angela,18
24,1899-12-31 18:17:00,1899-12-31 18:41:00,Angela,24
25,1899-12-31 18:18:00,1899-12-31 18:38:00,Angela,20
26,1899-12-31 18:17:00,1899-12-31 18:41:00,Angela,24
27,1899-12-31 18:18:00,1899-12-31 18:41:00,Angela,23
28,1899-12-31 18:06:00,1899-12-31 18:27:00,Prar,21
29,1899-12-31 18:06:00,1899-12-31 18:54:00,Prar,48
30,1899-12-31 18:08:00,1899-12-31 18:56:00,Prar,48
31,1899-12-31 18:08:00,1899-12-31 18:32:00,Prar,24
32,1899-12-31 18:20:00,1899-12-31 18:33:00,Prar,13
33,1899-12-31 18:06:00,1899-12-31 18:29:00,Prar,23
34,1899-12-31 18:06:00,1899-12-31 18:54:00,Prar,48
35,1899-12-31 18:08:00,1899-12-31 18:39:00,Prar,31
36,1899-12-31 18:08:00,1899-12-31 18:32:00,Prar,24
37,1899-12-31 18:20:00,1899-12-31 18:43:00,Prar,23
38,1899-12-31 18:06:00,1899-12-31 18:54:00,Prar,48
39,1899-12-31 18:08:00,1899-12-31 18:56:00,Prar,48
40,1899-12-31 18:20:00,1899-12-31 18:43:00,Prar,23
41,1899-12-31 18:06:00,1899-12-31 18:54:00,Prar,48
42,1899-12-31 18:08:00,1899-12-31 18:56:00,Prar,48
43,1899-12-31 18:20:00,1899-12-31 18:48:00,Prar,28
44,1899-12-31 18:06:00,1899-12-31 18:54:00,Prar,48
45,1899-12-31 18:06:00,1899-12-31 18:56:00,Prar,50
46,1899-12-31 18:25:00,1899-12-31 18:48:00,Prar,23
47,1899-12-31 18:25:00,1899-12-31 18:48:00,Prar,23
48,1899-12-31 17:31:00,1899-12-31 17:46:00,Pooja,15
49,1899-12-31 17:36:00,1899-12-31 17:45:00,Pooja,9
50,1899-12-31 17:48:00,1899-12-31 18:18:00,Pooja,30
51,1899-12-31 17:56:00,1899-12-31 18:20:00,Pooja,24
52,1899-12-31 18:01:00,1899-12-31 18:22:00,Pooja,21
53,1899-12-31 18:13:00,1899-12-31 18:43:00,Pooja,30
54,1899-12-31 18:25:00,1899-12-31 18:55:00,Pooja,30
55,1899-12-31 18:32:00,1899-12-31 19:06:00,Pooja,34
56,1899-12-31 18:46:00,1899-12-31 19:08:00,Pooja,22
57,1899-12-31 17:31:00,1899-12-31 17:53:00,Pooja,22
58,1899-12-31 17:43:00,1899-12-31 18:18:00,Pooja,35
59,1899-12-31 17:48:00,1899-12-31 18:18:00,Pooja,30
